bucket,grade,model,n_published,n_in_parent,n_ge_0.1,frac_ge_0.1,n_ge_0.5,frac_ge_0.5,n_ge_0.9,frac_ge_0.9
all,A,l18,216,188,181,0.8379629629629629,171,0.7916666666666666,154,0.7129629629629629
all,A,shielded,216,188,186,0.8611111111111112,180,0.8333333333333334,159,0.7361111111111112
all,A,combined,216,188,186,0.8611111111111112,183,0.8472222222222222,165,0.7638888888888888
all,B,l18,199,167,165,0.8291457286432161,159,0.7989949748743719,140,0.7035175879396985
all,B,shielded,199,167,164,0.8241206030150754,161,0.8090452261306532,145,0.7286432160804021
all,B,combined,199,167,166,0.8341708542713567,165,0.8291457286432161,149,0.7487437185929648
all,C,l18,897,745,735,0.8193979933110368,701,0.7814938684503902,628,0.7001114827201784
all,C,shielded,897,745,736,0.8205128205128205,720,0.802675585284281,661,0.7369007803790413
all,C,combined,897,745,740,0.8249721293199554,725,0.8082497212931996,685,0.7636566332218506
all,ALL,l18,1312,1100,1081,0.8239329268292683,1031,0.7858231707317073,922,0.7027439024390244
all,ALL,shielded,1312,1100,1086,0.8277439024390244,1061,0.8086890243902439,965,0.7355182926829268
all,ALL,combined,1312,1100,1092,0.8323170731707317,1073,0.8178353658536586,999,0.7614329268292683
honest,A,l18,57,41,37,0.6491228070175439,34,0.5964912280701754,31,0.543859649122807
honest,A,shielded,57,41,39,0.6842105263157895,37,0.6491228070175439,30,0.5263157894736842
honest,A,combined,57,41,39,0.6842105263157895,38,0.6666666666666666,33,0.5789473684210527
honest,B,l18,60,36,36,0.6,35,0.5833333333333334,30,0.5
honest,B,shielded,60,36,35,0.5833333333333334,35,0.5833333333333334,31,0.5166666666666667
honest,B,combined,60,36,36,0.6,35,0.5833333333333334,31,0.5166666666666667
honest,C,l18,246,139,135,0.5487804878048781,117,0.47560975609756095,102,0.4146341463414634
honest,C,shielded,246,139,133,0.540650406504065,126,0.5121951219512195,112,0.45528455284552843
honest,C,combined,246,139,137,0.556910569105691,127,0.516260162601626,119,0.483739837398374
honest,ALL,l18,363,216,208,0.5730027548209367,186,0.512396694214876,163,0.4490358126721763
honest,ALL,shielded,363,216,207,0.5702479338842975,198,0.5454545454545454,173,0.4765840220385675
honest,ALL,combined,363,216,212,0.5840220385674931,200,0.5509641873278237,183,0.5041322314049587
leaked,A,l18,159,147,144,0.9056603773584906,137,0.8616352201257862,123,0.7735849056603774
leaked,A,shielded,159,147,147,0.9245283018867925,143,0.89937106918239,129,0.8113207547169812
leaked,A,combined,159,147,147,0.9245283018867925,145,0.9119496855345912,132,0.8301886792452831
leaked,B,l18,139,131,129,0.9280575539568345,124,0.8920863309352518,110,0.7913669064748201
leaked,B,shielded,139,131,129,0.9280575539568345,126,0.9064748201438849,114,0.8201438848920863
leaked,B,combined,139,131,130,0.935251798561151,130,0.935251798561151,118,0.8489208633093526
leaked,C,l18,651,606,600,0.9216589861751152,584,0.8970814132104454,526,0.8079877112135176
leaked,C,shielded,651,606,603,0.9262672811059908,594,0.9124423963133641,549,0.8433179723502304
leaked,C,combined,651,606,603,0.9262672811059908,598,0.9185867895545314,566,0.869431643625192
leaked,ALL,l18,949,884,873,0.9199157007376185,845,0.8904109589041096,759,0.7997892518440464
leaked,ALL,shielded,949,884,879,0.9262381454162276,863,0.9093782929399368,792,0.8345626975763962
leaked,ALL,combined,949,884,880,0.9272918861959958,873,0.9199157007376185,816,0.8598524762908325
