stage,model,target_fpr,threshold,recovery_storfer,recovery_inchausti
B,resnet,0.01,0.9978153109550476,0.052770448548812667,0.10850801479654747
B,resnet,0.001,0.9992067813873291,0.02321899736147757,0.06165228113440197
B,effnet,0.01,0.9999995231628418,0.1683377308707124,0.19728729963008632
B,effnet,0.001,1.0,0.11134564643799472,0.11837237977805179
B,meta,0.01,0.9999333620071411,0.11820580474934037,0.19112207151664612
B,meta,0.001,0.9999350309371948,0.043799472295514515,0.09617755856966707
C,resnet,0.01,0.0399920716881752,0.47440633245382585,0.5955610357583231
C,resnet,0.001,0.2573642432689667,0.21846965699208443,0.2872996300863132
C,effnet,0.01,0.020150477066636086,0.8274406332453826,0.8902589395807645
C,effnet,0.001,0.226891428232193,0.5984168865435356,0.6510480887792849
C,meta,0.01,0.405253529548645,0.8358839050131927,0.8853267570900123
C,meta,0.001,0.4132099151611328,0.6232189973614776,0.688039457459926
