bucket,grade,model,n,frac_ge_0.1,frac_ge_0.5,frac_ge_0.9
all,A,resnet,90,0.9666666666666667,0.9,0.8222222222222222
all,A,effnet,90,0.9888888888888889,0.9888888888888889,0.9555555555555556
all,A,meta,90,0.9666666666666667,0.9666666666666667,0.9333333333333333
all,A,avg,90,0.9888888888888889,0.9666666666666667,0.8555555555555555
all,B,resnet,104,0.9615384615384616,0.9230769230769231,0.8365384615384616
all,B,effnet,104,0.9711538461538461,0.9326923076923077,0.9134615384615384
all,B,meta,104,0.9615384615384616,0.9615384615384616,0.9423076923076923
all,B,avg,104,0.9711538461538461,0.9615384615384616,0.8557692307692307
all,C,resnet,617,0.9059967585089141,0.8282009724473258,0.7034035656401945
all,C,effnet,617,0.9643435980551054,0.9367909238249594,0.9027552674230146
all,C,meta,617,0.9367909238249594,0.9222042139384117,0.8768233387358185
all,C,avg,617,0.9627228525121556,0.9092382495948136,0.7406807131280388
all,ALL,resnet,811,0.9198520345252774,0.8483353884093712,0.7336621454993835
all,ALL,effnet,811,0.967940813810111,0.9420468557336621,0.9099876695437731
all,ALL,meta,811,0.9432799013563502,0.9321824907521579,0.8914919852034525
all,ALL,avg,811,0.966707768187423,0.9223181257706535,0.7681874229346486
honest,A,resnet,90,0.9666666666666667,0.9,0.8222222222222222
honest,A,effnet,90,0.9888888888888889,0.9888888888888889,0.9555555555555556
honest,A,meta,90,0.9666666666666667,0.9666666666666667,0.9333333333333333
honest,A,avg,90,0.9888888888888889,0.9666666666666667,0.8555555555555555
honest,B,resnet,104,0.9615384615384616,0.9230769230769231,0.8365384615384616
honest,B,effnet,104,0.9711538461538461,0.9326923076923077,0.9134615384615384
honest,B,meta,104,0.9615384615384616,0.9615384615384616,0.9423076923076923
honest,B,avg,104,0.9711538461538461,0.9615384615384616,0.8557692307692307
honest,C,resnet,617,0.9059967585089141,0.8282009724473258,0.7034035656401945
honest,C,effnet,617,0.9643435980551054,0.9367909238249594,0.9027552674230146
honest,C,meta,617,0.9367909238249594,0.9222042139384117,0.8768233387358185
honest,C,avg,617,0.9627228525121556,0.9092382495948136,0.7406807131280388
honest,ALL,resnet,811,0.9198520345252774,0.8483353884093712,0.7336621454993835
honest,ALL,effnet,811,0.967940813810111,0.9420468557336621,0.9099876695437731
honest,ALL,meta,811,0.9432799013563502,0.9321824907521579,0.8914919852034525
honest,ALL,avg,811,0.966707768187423,0.9223181257706535,0.7681874229346486
